[rank 0/1] 48/48 videos | threads=198 (quota=198) | torch=198 | cuda_devices=1 | policy=gpu
Using a slow image processor as `use_fast` is unset and a slow processor was saved with this model. `use_fast=True` will be the default behavior in v4.52, even if the model was saved with a slow processor. This will result in minor differences in outputs. You'll still be able to use a slow processor with `use_fast=False`.
/usr2/tanngo/vol11/miniconda3/envs/vipe-new/lib/python3.11/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/usr2/tanngo/vol11/miniconda3/envs/vipe-new/lib/python3.11/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG16_Weights.IMAGENET1K_V1`. You can also use `weights=VGG16_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
[rank 0] models loaded in 9.6s
[rank 0] 1/48 recam1_0000 wall=3.41s cpu=39.5s gpu_busy=1.85s gpu_util=54.15% cores_busy=11.6
[rank 0] 2/48 recam1_0001 wall=2.83s cpu=25.6s gpu_busy=2.04s gpu_util=72.11% cores_busy=9.0
[rank 0] 3/48 recam1_0002 wall=2.97s cpu=25.5s gpu_busy=2.07s gpu_util=69.76% cores_busy=8.6
[rank 0] 4/48 recam1_0003 wall=2.84s cpu=25.1s gpu_busy=2.06s gpu_util=72.68% cores_busy=8.8
[rank 0] 5/48 recam1_0004 wall=2.85s cpu=25.0s gpu_busy=2.11s gpu_util=73.92% cores_busy=8.8
[rank 0] 6/48 recam1_0005 wall=2.84s cpu=25.4s gpu_busy=2.03s gpu_util=71.45% cores_busy=9.0
[rank 0] 7/48 recam1_0006 wall=2.84s cpu=24.8s gpu_busy=1.96s gpu_util=68.96% cores_busy=8.7
[rank 0] 8/48 recam1_0007 wall=2.87s cpu=26.4s gpu_busy=2.03s gpu_util=70.78% cores_busy=9.2
[rank 0] 9/48 recam1_0008 wall=2.86s cpu=25.6s gpu_busy=2.1s gpu_util=73.27% cores_busy=9.0
[rank 0] 10/48 recam1_0009 wall=2.86s cpu=24.9s gpu_busy=1.99s gpu_util=69.52% cores_busy=8.7
[rank 0] 11/48 recam1_0010 wall=2.86s cpu=25.9s gpu_busy=2.02s gpu_util=70.42% cores_busy=9.1
[rank 0] 12/48 recam1_0011 wall=2.89s cpu=25.2s gpu_busy=2.12s gpu_util=73.31% cores_busy=8.7
[rank 0] 13/48 recam1_0012 wall=2.89s cpu=25.3s gpu_busy=1.95s gpu_util=67.63% cores_busy=8.8
[rank 0] 14/48 recam1_0013 wall=2.88s cpu=24.9s gpu_busy=2.1s gpu_util=72.82% cores_busy=8.7
[rank 0] 15/48 recam1_0014 wall=2.90s cpu=26.0s gpu_busy=1.98s gpu_util=68.18% cores_busy=9.0
[rank 0] 16/48 recam1_0015 wall=2.89s cpu=26.1s gpu_busy=2.08s gpu_util=72.14% cores_busy=9.1
[rank 0] 17/48 recam1_0016 wall=2.86s cpu=24.9s gpu_busy=2.04s gpu_util=71.51% cores_busy=8.7
[rank 0] 18/48 recam1_0017 wall=2.86s cpu=25.2s gpu_busy=1.95s gpu_util=68.04% cores_busy=8.8
[rank 0] 19/48 recam1_0018 wall=2.86s cpu=24.9s gpu_busy=2.07s gpu_util=72.33% cores_busy=8.7
[rank 0] 20/48 recam1_0019 wall=2.85s cpu=25.3s gpu_busy=2.05s gpu_util=71.89% cores_busy=8.9
[rank 0] 21/48 recam1_0020 wall=2.86s cpu=24.9s gpu_busy=2.03s gpu_util=70.92% cores_busy=8.7
[rank 0] 22/48 recam1_0021 wall=2.86s cpu=24.9s gpu_busy=2.04s gpu_util=71.41% cores_busy=8.7
[rank 0] 23/48 recam1_0022 wall=2.87s cpu=26.0s gpu_busy=1.9s gpu_util=66.24% cores_busy=9.1
[rank 0] 24/48 recam1_0023 wall=2.86s cpu=25.7s gpu_busy=2.08s gpu_util=72.82% cores_busy=9.0
[rank 0] 25/48 recam1_0024 wall=2.85s cpu=24.8s gpu_busy=2.06s gpu_util=72.2% cores_busy=8.7
[rank 0] 26/48 recam1_0025 wall=2.86s cpu=26.2s gpu_busy=1.97s gpu_util=68.87% cores_busy=9.2
[rank 0] 27/48 recam1_0026 wall=2.88s cpu=26.8s gpu_busy=2.04s gpu_util=70.81% cores_busy=9.3
[rank 0] 28/48 recam1_0027 wall=2.86s cpu=25.1s gpu_busy=2.09s gpu_util=73.13% cores_busy=8.8
[rank 0] 29/48 recam1_0028 wall=2.85s cpu=25.0s gpu_busy=1.96s gpu_util=68.79% cores_busy=8.7
[rank 0] 30/48 recam1_0029 wall=2.85s cpu=25.1s gpu_busy=2.02s gpu_util=70.96% cores_busy=8.8
[rank 0] 31/48 recam1_0030 wall=2.86s cpu=24.9s gpu_busy=2.11s gpu_util=73.96% cores_busy=8.7
[rank 0] 32/48 recam1_0031 wall=2.88s cpu=25.0s gpu_busy=2.05s gpu_util=71.15% cores_busy=8.7
[rank 0] 33/48 recam1_0032 wall=2.86s cpu=25.3s gpu_busy=1.99s gpu_util=69.42% cores_busy=8.9
